POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36682522,FR,YES,NO,YES,YES,4,18,52,30,Yes,2009,loam,silty loam
36682342,FR,YES,NO,NO,NO,16,23,41,36,Yes,2009,loam,silty loam
36682302,FR,YES,NO,YES,YES,12,32,30,38,Yes,2009,clay loam,silty clay loam
36682238,FR,NO,NO,YES,NO,31,23,20,57,Yes,2015,silt loam,silty loam
36663442,UK,YES,NO,YES,NO,13,27,38,35,Yes,2009,loam,silty clay loam
36663376,UK,YES,NO,YES,NO,4,36,2,63,Yes,2009,silty clay loam,silty clay loam
36663276,UK,NO,NO,NO,YES,,,,,No,,,
36663142,UK,YES,NO,YES,YES,40,51,8,41,Yes,2009,silty clay,silty clay
36662908,FR,YES,NO,YES,YES,28,16,12,72,Yes,2009,silt loam,silty loam
36662884,FR,YES,NO,YES,YES,26,23,17,60,Yes,2009,silt loam,silty loam
